"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,IMPRESSION:UNIQUE_USERS,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio","Comentarios negativos de los usuarios: Ocultar todo"
695950868992363,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/13/2023 14:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02z73ivMnjVc5QQ7s2ZDvrrkKwzzAaUMyq8kioxoZ7r6x2qxiWaUx32ePLcsQjTeBGl,0,0,Foto,,,,,Total,2984,2652,,15,10,0,5,,133,115,18,,,,,,,,
695952042325579,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"No te pierdas la Inauguración el próximo JUEVES 16/marzo/2023
¡Te esperamos!",0,"03/13/2023 14:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0iVG4qtZEsRjHGPSWWimhLd1quap2rexn4yWWJwhuKgBxwvX2DwVsEd4Ub5CNSNc5l,0,0,Foto,,,,,Total,4940,4443,,23,23,0,0,,655,609,46,,,,,,,,
695977128989737,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/13/2023 16:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Ru7psAScVwuN7QpzhiuhPcRFzQRDbNUC4nZapAEx8CHHSxjHkGMoXJLURvzEXod2l,0,0,Foto,,,,,Total,4751,4299,,41,35,0,6,,273,222,51,,,,,,,,
695999302320853,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/13/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid07BTjsfXD1f5xSbanNDkDgLBUVgfHJ8JoQePqj8sefY2adaEQkeYpMN6v1CGEff8Ql,0,0,Foto,,,,,Total,2281,2046,,5,5,0,0,,156,143,13,,,,,,,,
696403012280482,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Concurso Battlegrounds
Realizado en CEART Mexicali el dia 10 de marzo, en la cual participaron 6 alumnos y 6 alumnas (6 equipos)  de la Facultad de Ingeniería de los programas educativos Ingeniería en Computación, Ingeniería en electrónica, Ingeniería en Mecatrónica, Ingeniería Industrial e Ingeniería Aeroespacial, en las categorías Seguidor de línea velocista y Ratón de Laberinto. Dentro de la categoría seguidor de línea clasificaron los 4 equipos provenientes de la Facultad de Ingeniería, obteniendo como resultado en la final del primer al cuarto lugar.
Primer lugar Alexandra López Zavala y Nibia Alexandra Morales Chiw, con el prototipo ToshiBlack del programa educativo Ingeniería en computación. Asesor Dr. Adolfo Heriberto Ruelas.
Segundo Lugar Rodrigo Mendoza Navarro y Gisell Silva León con el prototipo TennsyBot programa del educativo Ingeniería en Mecatrónica. Asesor Dr. Adolfo Heriberto Ruelas Puente.
Tercer lugar José Andrés Pérez Talamantes y José Carlos Ponce Odohui, con el prototipo sasuke del programa educativo Ingeniería en computación. M.I. Omar Muñoz Urias.
Cuarto lugar Jesus Abraham Ram Nie y Rubí Eugenia Padilla, con el prototipo Rubicón del programa educativo Ingeniería en computación e Industrial. Asesor Dr. Pedro Francisco Rosales Escobedo. Dentro de la categoría Robot de Laberinto los estudiantes de la FIM tuvieron una destacada participación donde se obtuvo como resultado el segundo y tercer lugar en la final de la categoría. Segundo Lugar Alberto Generalao Casillas y Arely Karime Banda León con el prototipo Robot STUART del Programa Educativo Ingeniería en Electrónica e Ingeniería Aeroespacial. Asesor Dr. Abraham Arias León.
Tercer Lugar Eddue Heliodoro Osuna Escalante y Citlaly Yamilet Favela Leal con el prototipo Robot GADGET del Programa Educativo Ingeniería en Electrónica. Asesor Dr. Abraham Arias León.
Fotos tomadas de la Revista Actitudm",0,"03/14/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid036AhpzBg8ge9t9L7HW8whDQzsUttZr6CsExaBM2bMfzaKD8jbK9h3AXWT6DyfSQLYl,0,0,Foto,,,,,Total,12768,11273,,274,215,48,11,,3900,2619,1281,,,,,,,,
696588798928570,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"03/14/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0YQfAh1TfJidyKXQCC2jHnN15gTasdupwPGraAnv4rXBZKxyZJuTVpy5NVKeQko9Sl,0,1,Foto,,,,,Total,3538,3221,,9,8,0,1,,316,132,184,,,,,,,,
697031048884345,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"En FIM, este 15 de marzo en el Día del Trabajador Universitario, felicitamos y reconocemos la labor, el esfuerzo y el sacrificio de todas las personas que forman parte de nuestra fuerza trabajadora, que hacen posible que esta institución continúe siendo el punto de referencia de la educación en la Ingeniería de la región.

#lafimcercadeti #TodosSomosUabc",0,"03/15/2023 11:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02NoaRXyf8GDhmG8phhVCfgPAZp2ASDN3a4ZEwbsEThjLRHdMaZFVCL8GSH6AowGyMl,0,0,Foto,,,,,Total,2584,2249,,30,26,0,4,,41,21,20,,,,,,,,
697080798879370,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Nuestro estudiante de Ing. en Energías Renovables, Antonio José Govea Sandoval, reconocido cómo Mérito Deportivo este 3 de marzo, nos comparte su historia, logros y aspiraciones como deportista y como Ingeniero. Agradecemos su participación en esta entrevista, brindando una fuente de inspiración para compañeros y generaciones futuras.

#lafimcercadeti",153,"03/15/2023 14:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02JDS1e5NMpm5sY9m8ZjdfjH7tcktcvvnWLh56m85fhf9zEzUZ41LDke4S6m8ZvTqrl,0,0,Video,,,,,Total,2142,1799,,42,38,2,2,,158,,120,,38,17762.583,10.649,0,0,0,
697114988875951,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"16 de Marzo / Jueves de Ciencia",0,"03/15/2023 15:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02gNBMX2RyKm5JqaruzLdm5ZBm4Y4CgEYovZv9YffgZwCezTzeeD9saFhzz6bjb4cKl,0,0,Foto,,,,,Total,4640,4120,,23,21,0,2,,447,404,43,,,,,,,,
697634238824026,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Expresamos nuestras sinceras felicitaciones al personal administrativo y de servicios FIM que hoy reciben su reconocimiento a la antigüedad laboral en la UABC.
¡ Enhorabuena para todos !",0,"03/16/2023 13:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0vFAj5M81cMo6FxMmx4kr1gjyBRdwm3z4ZwbKCLUUE77Qof2AS7xtxLM9HmnxKnXgl,0,0,Foto,,,,,Total,8523,5974,,136,119,15,2,,1049,818,231,,,,,,,,
