"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Comentarios negativos de los usuarios: Ocultar todo","CPM del anuncio (USD)","Impresiones del anuncio"
819262049994577,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/18/2023 10:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0xHSeeqVw2mM3gW1zMztfxZ3gAeCTBWEVH8zfeLAzAVGaUfxPjNGRjoFRgyDEjXdpl,0,0,Foto,,,,,Total,1489,1382,1,1,0,0,7,7,,,,,,,,
819261746661274,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/18/2023 10:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0hRfZWMFFRvTrJ85udsYG82281JtEzQqYWonYC1MVFi2LRu7f66NU3KadBV6eUX1Ul,0,0,Foto,,,,,Total,1785,1641,3,2,0,1,13,8,5,,,,,,,
818794033374712,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","Agradecemos al Mtro. Jesús Armando Cantú Cárdenas por su entrega por más de 3 décadas, continuando en ser un ejemplo de constancia, guía y profesionalidad.

Es nuestro honor el nombramiento del Laboratorio de Mecatrónica de la FIM en su nombre.",0,"10/17/2023 15:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0M1ifxTocpBdzHNZnximoVvmAuifZSN3mmiwYnoRBhTLLMCpFtVQT5Nm9BWGRUVVil,0,1,Foto,,,,,Total,2341,2141,35,32,3,0,310,222,88,,,,,,,
818743353379780,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Se les hace la cordial invitación a nuestra decimocuarta edición de nuestro ciclo de conferencias “Jueves de ciencia” a cargo del Dr. Conradoo Garcia González que nos presentará el tema “Biodicel: Presente y Futuro de Mexico”
El día 19 de octubre de 12:00 a 13:00 en el Aula magna, Facultad de Ingeniería Mexicali",0,"10/17/2023 12:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0V6ptbSxhAb1k1pZybRp3DszPkLAhojAFNi7kNwpnQYXuz6FChxPgEAzRGz29Krul,0,0,Foto,,,,,Total,1973,1830,8,8,0,0,26,19,7,,,,,,,
818332756754173,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este martes 10 de octubre, en conmemoración de la semana del 56 aniversario de la Facultad de Ingeniería Campus Mexicali, se llevó a cabo la Ceremonia de Reconocimiento al personal docente, administrativo y servicios dentro de la FIM.

Nuestro cuerpo de trabajo es nuestro motor que hace realidad que nuestra comunidad ingeniería siga adelante, entregando año con año por más de medio siglo, ingenier@s de primer nivel en calidad, profesionalidad y valores cimarrones.

La importancia al reconocimiento del trabajo de todas las personas que forman parte de nuestra Facultad, no solo a docentes, sino también al personal administrativo, de servicios, de confianza y prestadores de servicios profesionales, pues su talento y esfuerzos es lo que hace funcionar a esta institución.

Los felicitamos y agradecemos por ser parte de los 56 años de la Facultad de Ingeniería, ¡sigamos adelante!",0,"10/16/2023 20:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02jBff1eugw2gnYKjYSCCkKu7457HvLhqyv4mSvZ92ndFEJTTfYx8vqveorazeAnBol,0,0,Foto,,,,,Total,8116,6779,100,89,8,3,1584,1029,555,,,,,,,
810806647506784,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/04/2023 08:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02a3Lr7Vv6micKwasmxXCXhdudNJM7c1bcuH9EKir2kQvTMKoXb6h71AjYaubzGf8Ql,0,0,Foto,,,,,Total,2346,2110,6,5,0,1,85,76,9,,,,
811328640787918,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"10/05/2023 10:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid028ovkXkU6cr7FuaxXAsjez3eKdPwvjTdhuRuJzvGD44k9ACXMapkonejEbuP7m9JNl,0,1,Foto,,,,,Total,1845,1657,8,7,0,1,25,17,8,,,,
811362467451202,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"10/05/2023 11:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0e6FjzfFV8ByndYRXdhqd58FBHzbHmmVH6hnrnHWc1kuaCnDVbVArGgCCvEvfrd2Kl,0,1,Foto,,,,,Total,2045,1825,7,7,0,0,40,14,26,,,,
811409364113179,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Muchas Felicidades al personal docente de la FIM!",0,"10/05/2023 14:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02v15ZDyrvRFZm4T9Hj4ibJhgcKMBBDoqWGMH7MhVxsjQa6XAwPPvym5NFxnMWfCDtl,0,0,Foto,,,,,Total,2308,1969,42,38,1,3,31,5,26,,,,
811449900775792,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada Comunidad de la Facultad de Ingeniería:

Les hacemos llegar la cordial invitación para que participen en las actividades de la ""Semana del 56 Aniversario de la Facultad de Ingeniería"" que se llevarán a cabo del 10 al 13 de octubre del presente año. Los invitamos a presenciar la inauguración a realizarse en nuestra explanada central el día Martes 10 de octubre a las 9:30 am.
Muchas gracias de antemano por su apreciable asistencia, participación y colaboración.
¡Felicidades a todos por estos 56 años!",0,"10/05/2023 16:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0s35FLmQwpxdWbN2TLDPd69ajJK3XKcyhZi877rZPkwjV5TGCYEEgYpwtoB1QE1Yvl,0,0,Foto,,,,,Total,3248,2693,40,32,3,5,273,201,72,,,,
811460630774719,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada Comunidad de la Facultad de Ingeniería:

Les hacemos llegar la cordial invitación para que participen en las actividades de la ""Semana del 56 Aniversario de la Facultad de Ingeniería"" que se llevarán a cabo del 10 al 13 de octubre del presente año. Los invitamos a presenciar la inauguración a realizarse en nuestra explanada central el día Martes 10 de octubre a las 9:30 am.
Muchas gracias de antemano por su apreciable asistencia, participación y colaboración.
¡Felicidades a todos por estos 56 años!",0,"10/05/2023 17:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid036RSwfYZi1qVJxCGn6Yfwk4UVSpVEYcgikBni58hzw9GN38bF34AnZ3g37Vcoiy4dl,0,0,Foto,,,,,Total,10432,6561,101,78,1,22,871,687,184,,,,
811807370740045,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/06/2023 08:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0zjk6SuvGhXU4YFbraafBXWt2JF323rzkzXuFtAUWaVGc319gG95WptLrg6xtvrVhl,0,0,Foto,,,,,Total,2439,1833,25,15,0,10,48,32,16,,,,
811825244071591,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,71,"10/06/2023 09:10",auto,https://www.facebook.com/fimuabc/posts/pfbid0Y1BKPSC7i2QLTJ2AGaLJHoSb9xS6DRcn21vy8ALemvVqRNM18gJwJp8Utnf1YMMxl,0,1,Video,,,,,Total,1398,1169,5,5,0,0,4,,3,1,,,
811845067402942,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"56 Aniversario de la Facultad de Ingeniería 
Actividades organizadas en conjunto con sociedad de alumnos 
 Torneo de videojuegos 11 de oct:
https://forms.gle/nTXShHAqCpL4uvit6 
Torneo alumnos vs maestros 12 de oct:
https://forms.gle/HowJ4cjytWLQZwbe6 
Bazar estudiantil 12 de oct:
https://forms.gle/ZfXne1NZx4YTrbUn8
100 ingenieros dijeron 12 de oct:
https://forms.gle/DgRjccdGfFK7Ztvg7 
Show de talentos 11 de oct :
https://forms.gle/64UcKTf9XNCwZiHF7 
Rally estudiantil 13 de oct:
https://forms.gle/1DkF9665uY2fJVJj8",0,"10/06/2023 10:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0CwRgVRW1y49CCX1V97HTbveVuJ7y41tU63NKKYkYZTdCiYg7KSms39iP4dYkLw1Dl,0,0,Foto,,,,,Total,11282,7976,111,94,4,13,2107,1683,355,69,,,
6018511808250404,422553107793433,"Facultad de Ingeniería UABC Mexicali","Hablemos entre Cimarrones - EP. 2: ¿Cómo identificar una persona o relación tóxica?","Relación tóxica es un término muy usando en nuestra actualidad pero, ¿Te haz preguntado de qué trata realmente y como identificar si estás en una? 

Te invitamos a escuchar el Podcast de hoy para resolver tus dudas y aprender más de este tema.",2989,"10/06/2023 12:10",uploaded,https://www.facebook.com/fimuabc/videos/6018511808250404/,0,0,"Video en vivo",,,,,Total,,1880,49,35,10,4,,,,,69260.387,28.143,0
