"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Comentarios negativos de los usuarios: Ocultar todo","Total de clics","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
574627554458029,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02zycUbRsVAt6D8GV8AzUNmHk5Ur7aruFcNgnQYzUSF33LGGerEpiLBFnzgLjZsHexl,0,0,Foto,,,,,Total,1410,1275,3,2,0,1,1,,24,7,,17,,,,,,
574627401124711,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0MZHFb2vV7T4E3vHU2PVanjYuH1fPFpqJD6yyGLzYSU5exz8GRGxYT8WFcNDLU4JDl,0,0,Foto,,,,,Total,1899,1753,4,2,1,1,1,,68,16,,52,,,,,,
574627081124743,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02fNdGDTKquz2w5sUtcanDBMU2p6ceagfXKP6H16vgNQGugGQVVa7r2LVfdbQAmztBl,0,0,Foto,,,,,Total,1097,1005,2,1,0,1,1,,20,6,,14,,,,,,
574625427791575,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02gLDLdNr2cWij7gwqDjbN5rcf7EEhwpF5x6fXRCJoCY2VbqsfawGt2mDTTjzPqXQtl,0,0,Foto,,,,,Total,1559,1472,4,2,1,1,1,,113,70,,43,,,,,,
574624161125035,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El horario es de 11-12 Aula Magna. Gracias.",0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0KC7WnUyZ5ZKFoVHEmfp1ZyLYjTXwkk39PWx9Y7yfW7h7fSgBPQaykfigwonBmvQ5l,0,0,Foto,,,,,Total,897,834,2,1,0,1,1,,15,2,,13,,,,,,
574623721125079,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/28/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0CzbMA4kP3jqXyX8eS3Fmq1mu7kM3bDCwefbiVd5wogtDQ6bG1nxRfKvpeM7xPJTNl,0,0,Foto,,,,,Total,1702,1623,8,5,1,2,1,,79,34,,45,,,,,,
574093547844763,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La FIM se enorgullece en felicitar al alumno WALTER ÁVILA RUIZ por la obtención del grado de Maestría en Ingeniería, con el tema  IMPLEMENTACIÓN DEL USO DE VEHÍCULOS AÉREOS  NO TRIPULADOS PARA LA ELABORACIÓN DE MODELOS DIGITALES DE ELEVACIONES DE ALTA RESOLUCIÓN PARA EL ANÁLISIS HIDROLÓGICO  EN MICROCUENCAS INTRAURBANAS, CASO DE ESTUDIO:EL VIDRIO, MEXICALI,BAJA CALIFORNIA.
DIRECTOR DE TESIS: DR. CARLOS SALAZAR BRIONES 
CODIRECTOR: DR. JOSE MIZAEL RUIZ GIBERT
¡Enhorabuena!",0,"09/27/2022 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0VqhK7LMyAoNkW3NATYZWLSMk6rHp88ZeYEBwbTBfxCaKp8B2Lcy5ZD7P52NhNMGxl,0,0,Foto,,,,,Total,11805,10410,557,437,110,10,1,,3975,1489,,2486,,,,,,
574079271179524,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid0NwYBkSAjM8Hj16BttSdarucZirmTzCUCfG3HoGux9QV59ETDzaJCDCVXyZS6N4kYl&id=100063816061459,0,"09/27/2022 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0iTWk9t7wrTeDWio12QFTa4tE1dj4v4q2yF1JJNwCG3GjHtwLMe8CcGeZ9G26eD42l,0,1,Foto,,,,,Total,2391,2310,4,3,0,1,1,,268,90,,178,,,,,,
574078471179604,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid023QUy7mXuvXTa8im8WkxxprsN9suCAdbjqsCZ15gv3rcn15ncryv1c3FPdifAawePl&id=100063816061459,0,"09/27/2022 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02v7Jc3Xt5LKUtaRjnhLd4Rag1viFtvnSHh2Hcydbp7ThTqtfQS85hSRULX7REa6owl,0,1,Foto,,,,,Total,3328,3225,12,11,1,0,1,,532,175,,357,,,,,,
573976954523089,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/27/2022 11:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02NGTBSDZMgJ2eNi3tp8moQLdwSmqqFTMEgB1rJu4ww3WHeYLNegoZmGoitgkRyudMl,0,0,Foto,,,,,Total,2584,2304,19,14,0,5,1,,117,69,,48,,,,,,
573337717920346,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/100064645961203/posts/pfbid028DjS5X7S5pM92GaqCfqL6TDu9AJC7MzSDX7dHFbz5nHFVqcu6Qg2sXtuz1Ca1Ut5l/,0,"09/26/2022 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid021oEDXnCHXi8i5DMDLGx9cYCgFUnWuW4SGBUBBzNU9kixcZ1xdoxcMhQe9ovoPojjl,0,1,Foto,,,,,Total,2767,2645,15,11,2,2,1,,284,92,,192,,,,,,
573334761253975,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/26/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid022hyeruNXmkGz76ZRwHLBhmPP3jn5LUZzfkGeRQcKQ6fNMGESiRQ4tb7oczWPrxYCl,0,0,Foto,,,,,Total,1688,1571,9,7,0,2,1,,67,21,,46,,,,,,
573334507920667,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te esperamos en el Aula Magna de la FIM.
¡No olvides tu carnet!",0,"09/26/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02kMGWy76BbXADNKGXSCiEfLzj6HG4Pz1erbAouJXQ6hB7rRGCiajLrr8sUmmG1xsbl,0,0,Foto,,,,,Total,3511,3397,27,24,1,2,1,,395,118,,277,,,,,,
573334184587366,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te esperamos en el Aula Magna de la FIM.
¡No olvides tu carnet!",0,"09/26/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02a4Kq864yHcWegAmmHzXv6sE9reb8rAsdn7nQaxfbehfQMQomU4ASU6jSriaXeh2Bl,0,0,Foto,,,,,Total,1685,1595,10,7,0,3,1,,150,16,,134,,,,,,
573333377920780,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te esperamos en el Aula Magna de la FIM.
¡No olvides tu carnet!",0,"09/26/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02amAqj7ynLWDVaq1jZ5sF4ZAqK36YeupPPA4iSefeL9N5DEXGt3NK1PEAVQbhtUWkl,0,0,Foto,,,,,Total,862,782,4,2,0,2,1,,7,4,,3,,,,,,
573333121254139,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te esperamos en el Aula Magna de la FIM.
¡No olvides tu carnet!",0,"09/26/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02wkyMP52eb2pHZwkNpJ9RxG7GQQLJcD9vAbWChPLXQnRoe8AjDfCnMmnM7enABB4Pl,0,0,Foto,,,,,Total,1176,1076,4,2,0,2,1,,24,8,,16,,,,,,
573281037926014,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/26/2022 11:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02LaGirnQsEVDPeZmcayksojKWEWxFnaBEK6ycvKHVC1GU3SsuYyFZuufDVq6dHkkil,0,0,Foto,,,,,Total,3188,3094,20,15,1,4,1,,572,84,,488,,,,,,
573232287930889,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/26/2022 10:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0bQrCGGGC4BvKmu8zWUkjA3MRZLj24jZD8b6RT1KkrRWuUWpTrsp1GB3FVb8UmV55l,0,0,Foto,,,,,Total,3713,3690,55,52,0,3,1,,379,134,,245,,,,,,
