UABC_FIM_ICO_IA_2024-1_PROYECTO_FINAL_TESTING2
Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
3,18,2022,543,58,56,0,0,0,3
9,26,2022,609,3713,3690,0,3,1,52
10,26,2023,910,7917,6978,175,9,1562,455
10,16,2023,970,3379,3117,0,2,221,17
9,12,2023,549,1321,1098,1,0,1,0
8,15,2023,848,4346,3815,6,0,473,18
2,10,2023,602,3481,2993,12,5,1,18
5,26,2022,1205,1268,1005,0,0,0,0
9,14,2023,849,4318,3808,2,0,586,21
4,17,2023,784,8642,6384,13,5,1213,103
5,11,2023,545,3384,2656,1,3,79,14
6,20,2022,786,4297,2424,0,0,31,2
4,10,2023,664,2059,1837,0,3,42,0
6,6,2023,846,6668,5154,1,10,491,63
6,16,2023,1206,2525,1860,0,0,17,2
5,23,2023,965,2655,2090,0,6,72,18
12,13,2023,1032,5147,4391,0,1,850,32
12,18,2023,912,6846,5299,0,2,942,71
5,23,2023,545,4032,2963,0,4,203,11
11,28,2023,731,1770,1499,0,0,15,10
1,17,2023,601,6016,5169,93,3,1,97
4,19,2023,604,4610,3802,2,12,264,26
11,8,2023,611,1663,1489,0,0,60,4
9,6,2023,549,3324,2884,0,1,368,30
11,1,2023,971,3181,2518,2,5,90,15
3,15,2023,663,2584,2249,26,0,4,30
10,4,2023,490,2346,2110,0,1,85,5
1,28,2023,1021,3611,3014,18,0,0,18
11,10,2023,791,3697,3206,0,1,146,2
9,28,2022,489,1899,1753,1,1,1,2
5,16,2023,1025,2416,2006,0,1,92,0
7,4,2023,967,4847,3648,0,2,84,7
10,19,2022,670,3784,3309,5,16,1,157
3,7,2023,543,1957,1796,8,0,3,11
1,23,2023,961,6709,5970,82,3,2,87
5,26,2022,965,1429,1115,0,5,10,11
9,27,2022,969,11805,10410,110,10,1,437
12,18,2023,972,8574,6455,3,3,1607,66
11,30,2023,731,2471,2184,0,0,11,3
5,25,2022,485,984,797,1,0,11,3
8,15,2023,548,2738,2357,2,3,43,12
4,29,2023,544,3357,3090,0,2,273,19
9,18,2023,489,1007,890,0,0,5,2
11,14,2023,491,1677,1491,0,0,8,1
5,22,2023,545,2781,2464,0,0,64,14
10,20,2023,1030,1748,1565,0,0,60,3
4,12,2023,1024,1316,1187,0,0,36,0
10,30,2023,550,2489,2190,1,3,46,9
9,26,2023,1029,2646,2335,0,1,178,6
2,14,2023,722,2592,2294,6,0,0,61
1,23,2023,661,2396,2170,0,0,0,0
6,6,2023,1086,3618,2637,0,5,71,28
9,29,2023,489,1262,1096,0,0,20,1
3,30,2022,963,53,51,0,1,0,11
4,26,2022,1024,94,86,0,0,0,0
10,10,2023,1270,2808,2627,0,0,393,17
8,22,2023,548,2183,1988,0,0,39,5
5,2,2023,725,1864,1543,0,2,56,2
1,21,2022,361,14,14,0,0,0,0
3,10,2023,543,4848,4578,8,5,4,17
5,17,2023,725,3204,2811,0,3,107,12
3,10,2023,543,5590,5255,10,3,1,14
5,13,2022,1325,364,316,0,0,2,10
9,19,2022,969,2691,2545,0,0,1,5
3,15,2022,603,53,53,0,1,4,12
3,2,2023,543,2636,2464,2,0,2,4
3,1,2023,1143,8491,6395,169,7,6,182
10,10,2023,730,2800,2447,0,1,149,3
2,13,2023,542,2903,2707,17,0,1,18
5,11,2023,605,2185,1673,0,0,21,2
8,22,2023,608,2186,1912,0,0,52,6
4,27,2023,1264,4276,4082,0,0,419,36
2,16,2023,902,3902,3370,14,0,1,15
2,4,2022,662,60,55,1,2,4,2
3,3,2023,963,8641,7701,134,7,9,150
10,24,2023,910,4541,4097,1,5,860,46
5,24,2023,545,2477,1964,0,2,26,5
5,20,2022,605,481,414,0,1,1,2
6,8,2023,726,2135,1526,0,0,48,1
9,22,2022,1089,7941,7402,10,5,1,186
3,9,2023,1023,2517,2204,9,0,1,10
4,26,2022,1024,112,103,0,1,0,1
4,18,2022,844,78,72,0,1,1,4
5,12,2023,545,2575,1892,0,2,44,2
10,11,2023,1330,8101,6868,0,2,1009,82
11,25,2023,491,1359,1164,0,0,1,3
2,20,2023,662,1952,1716,3,0,0,3
12,31,2022,492,3471,2580,0,0,1,28
6,9,2023,666,2427,1746,1,0,135,4
11,3,2023,911,4293,3538,0,3,522,78
11,3,2023,1091,10507,8444,0,7,1193,117
5,4,2022,545,208,187,0,1,3,1
12,13,2022,852,7047,5842,1,1,1,143
10,16,2023,610,4991,4754,0,1,967,68
2,1,2023,482,4373,3642,20,2,9,31
9,30,2022,909,2878,2641,1,1,1,15
12,22,2023,672,4633,3642,4,0,97,67
6,1,2023,1086,6461,5569,6,3,634,118
2,17,2023,602,1301,1127,8,0,0,8
2,13,2023,962,1821,1426,49,0,3,52
5,9,2023,905,3062,2322,0,0,134,1
9,27,2023,1209,2834,2549,0,0,334,4
8,8,2023,608,3056,2796,0,3,50,42
2,25,2022,1082,33,33,0,0,0,0
11,1,2023,611,3155,2831,1,1,100,28
8,14,2023,488,1670,1487,0,0,5,3
2,3,2022,902,52,51,0,0,1,1
6,12,2023,726,6896,5619,1,2,764,115
2,8,2023,662,3586,3090,6,0,2,8
9,29,2023,849,2340,2074,0,1,62,11
5,25,2023,965,5027,4157,0,0,838,16
5,30,2022,785,2520,1823,4,1,82,5
4,28,2022,604,105,98,0,0,1,1
4,18,2022,724,72,66,0,0,0,3
5,6,2022,545,202,182,0,0,0,4
3,9,2023,543,1945,1714,2,0,1,3
10,9,2023,1150,7289,6162,2,5,1040,72
3,16,2023,1143,20507,15974,294,32,12,338
3,4,2022,903,118,108,2,0,10,109
1,2,2023,541,7121,5772,34,0,1,35
11,2,2023,911,2151,1990,0,1,20,30
5,23,2022,1145,717,605,6,1,12,14
5,22,2023,545,2130,1637,1,1,30,3
10,27,2023,1030,5094,4243,0,0,604,18
3,24,2022,903,55,51,1,1,0,2
5,16,2023,725,3443,2700,0,2,127,16
10,18,2022,730,5954,5727,1,2,1,47
5,23,2023,845,3037,2685,0,2,133,16
12,1,2022,492,17913,14644,75,21,1,811
5,24,2022,905,988,803,1,1,65,3
11,22,2023,491,8874,7546,2,8,1516,105
3,5,2022,1023,36,36,0,0,1,11
5,2,2023,545,2047,1760,0,1,28,4
10,12,2023,550,2473,2057,0,0,56,3
6,16,2023,606,2427,1799,0,0,32,1
10,19,2022,730,3793,3499,0,3,1,1
11,28,2023,551,6129,5557,26,2,922,121
3,1,2022,1023,30,30,0,0,0,0
