@relation DatasetLimpioFormateado

@attribute Mes numeric
@attribute Dia numeric
@attribute Year numeric
@attribute Hora numeric
@attribute Impresiones numeric
@attribute Alcance numeric
@attribute Reacciones numeric

@data
11,1,2023,971,3181,2518,15
3,15,2023,663,2584,2249,30
10,4,2023,490,2346,2110,5
1,28,2023,1021,3611,3014,18
11,10,2023,791,3697,3206,2
9,28,2022,489,1899,1753,2
5,16,2023,1025,2416,2006,0
7,4,2023,967,4847,3648,7
10,19,2022,670,3784,3309,157
3,7,2023,543,1957,1796,11
1,23,2023,961,6709,5970,87
5,26,2022,965,1429,1115,11
9,27,2022,969,11805,10410,437
12,18,2023,972,8574,6455,66
11,30,2023,731,2471,2184,3
5,25,2022,485,984,797,3
8,15,2023,548,2738,2357,12
4,29,2023,544,3357,3090,19
9,18,2023,489,1007,890,2
11,14,2023,491,1677,1491,1
5,22,2023,545,2781,2464,14
10,20,2023,1030,1748,1565,3
4,12,2023,1024,1316,1187,0
10,30,2023,550,2489,2190,9
9,26,2023,1029,2646,2335,6
2,14,2023,722,2592,2294,61
1,23,2023,661,2396,2170,0
6,6,2023,1086,3618,2637,28
9,29,2023,489,1262,1096,1
3,30,2022,963,53,51,11
4,26,2022,1024,94,86,0
10,10,2023,1270,2808,2627,17
8,22,2023,548,2183,1988,5
5,2,2023,725,1864,1543,2
1,21,2022,361,14,14,0
3,10,2023,543,4848,4578,17
5,17,2023,725,3204,2811,12
3,10,2023,543,5590,5255,14
5,13,2022,1325,364,316,10
9,19,2022,969,2691,2545,5
3,15,2022,603,53,53,12
3,2,2023,543,2636,2464,4
3,1,2023,1143,8491,6395,182
10,10,2023,730,2800,2447,3
2,13,2023,542,2903,2707,18
5,11,2023,605,2185,1673,2
8,22,2023,608,2186,1912,6
4,27,2023,1264,4276,4082,36
2,16,2023,902,3902,3370,15
2,4,2022,662,60,55,2
3,3,2023,963,8641,7701,150
10,24,2023,910,4541,4097,46
5,24,2023,545,2477,1964,5
5,20,2022,605,481,414,2
6,8,2023,726,2135,1526,1
9,22,2022,1089,7941,7402,186
3,9,2023,1023,2517,2204,10
4,26,2022,1024,112,103,1
4,18,2022,844,78,72,4
5,12,2023,545,2575,1892,2
10,11,2023,1330,8101,6868,82
11,25,2023,491,1359,1164,3
2,20,2023,662,1952,1716,3
12,31,2022,492,3471,2580,28
6,9,2023,666,2427,1746,4
11,3,2023,911,4293,3538,78
11,3,2023,1091,10507,8444,117
5,4,2022,545,208,187,1
12,13,2022,852,7047,5842,143
10,16,2023,610,4991,4754,68
2,1,2023,482,4373,3642,31
9,30,2022,909,2878,2641,15
12,22,2023,672,4633,3642,67
6,1,2023,1086,6461,5569,118
2,17,2023,602,1301,1127,8
2,13,2023,962,1821,1426,52
5,9,2023,905,3062,2322,1
9,27,2023,1209,2834,2549,4
8,8,2023,608,3056,2796,42
2,25,2022,1082,33,33,0
11,1,2023,611,3155,2831,28
8,14,2023,488,1670,1487,3
2,3,2022,902,52,51,1
6,12,2023,726,6896,5619,115
2,8,2023,662,3586,3090,8
9,29,2023,849,2340,2074,11
5,25,2023,965,5027,4157,16
5,30,2022,785,2520,1823,5
4,28,2022,604,105,98,1
4,18,2022,724,72,66,3
5,6,2022,545,202,182,4
3,9,2023,543,1945,1714,3
10,9,2023,1150,7289,6162,72
3,16,2023,1143,20507,15974,338
3,4,2022,903,118,108,109
1,2,2023,541,7121,5772,35
11,2,2023,911,2151,1990,30
5,23,2022,1145,717,605,14
5,22,2023,545,2130,1637,3
10,27,2023,1030,5094,4243,18
3,24,2022,903,55,51,2
5,16,2023,725,3443,2700,16
10,18,2022,730,5954,5727,47
5,23,2023,845,3037,2685,16
12,1,2022,492,17913,14644,811
5,24,2022,905,988,803,3
11,22,2023,491,8874,7546,105
3,5,2022,1023,36,36,11
5,2,2023,545,2047,1760,4
10,12,2023,550,2473,2057,3
6,16,2023,606,2427,1799,1
10,19,2022,730,3793,3499,1
11,28,2023,551,6129,5557,121
3,1,2022,1023,30,30,0
