Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
04,30,2022,844,111,105,0,0,0,0
05,02,2022,905,121,113,0,0,0,0
05,02,2022,905,144,133,0,1,0,0
05,02,2022,905,237,213,0,2,0,1
05,03,2022,785,136,123,0,0,1,1
05,03,2022,785,151,139,0,1,0,2
05,03,2022,1025,166,152,0,2,2,5
05,03,2022,1025,180,160,0,1,0,4
05,03,2022,1025,1027,837,26,20,165,52
05,04,2022,545,181,161,0,0,1,0
05,04,2022,545,208,187,0,1,3,1
05,05,2022,905,193,174,0,0,0,2
05,06,2022,545,318,260,4,4,12,6
05,06,2022,545,202,182,0,0,0,4
05,06,2022,1025,202,184,0,0,0,0
05,11,2022,605,836,645,28,11,29,204
05,11,2022,845,253,230,0,0,0,1
05,11,2022,905,289,258,0,1,1,2
05,12,2022,485,310,270,0,0,0,1
05,12,2022,665,578,464,13,6,11,11
05,13,2022,1025,390,341,1,0,0,0
05,13,2022,1325,364,316,0,0,2,10
05,15,2022,485,404,344,0,4,0,4
05,17,2022,605,378,334,0,0,2,4
05,18,2022,545,438,381,2,1,5,7
05,18,2022,1085,1374,1096,1,7,53,43
05,20,2022,485,463,397,0,0,1,1
05,20,2022,605,481,414,0,1,1,2
05,20,2022,665,538,460,0,1,1,0
05,23,2022,485,585,503,2,5,1,41
05,23,2022,485,791,639,2,2,4,4
05,23,2022,485,588,503,0,0,0,1
05,23,2022,845,749,635,1,3,3,1
05,23,2022,1145,717,605,6,1,12,14
05,23,2022,1205,755,627,1,2,5,10
05,24,2022,725,766,634,1,0,1,0
05,24,2022,725,1249,959,32,12,50,70
05,24,2022,905,988,803,1,1,65,3
05,25,2022,485,984,797,1,0,11,3
05,25,2022,485,1139,909,0,2,10,4
05,26,2022,965,2071,1652,7,8,67,39
05,26,2022,965,1429,1115,0,5,10,11
05,26,2022,1205,1268,1005,0,0,0,0
05,27,2022,725,1783,1309,0,0,15,1
05,30,2022,785,1611,1245,0,0,5,4
05,30,2022,785,2520,1823,4,1,82,5
05,30,2022,1025,2377,1675,0,0,134,2
05,31,2022,1025,2670,1813,0,0,16,1
05,31,2022,1085,2955,1938,0,1,20,0
05,31,2022,1085,4365,2427,0,1,4,3
06,03,2022,1026,10918,6809,14,19,1059,86
06,09,2022,906,16122,11495,11,19,1627,144
06,09,2022,966,4414,2545,0,1,19,2
06,10,2022,546,3532,1935,0,0,16,0
06,10,2022,786,5828,3482,2,2,67,38
06,13,2022,546,7172,4744,3,1,717,11
06,18,2022,606,5979,3808,5,1,201,65
06,20,2022,786,4297,2424,0,0,31,2
06,29,2022,606,9162,6454,10,12,868,58
06,29,2022,786,6606,4243,0,4,210,3
06,29,2022,1026,4379,2577,0,3,32,2
06,29,2022,1026,5763,3412,0,4,107,6
06,30,2022,726,5838,3578,0,4,59,8
04,01,2022,904,61,58,0,1,1,3
04,01,2022,964,130,117,0,3,28,1
09,30,2022,969,1393,1202,0,0,1,11
09,30,2022,969,1648,1478,0,0,1,20
09,30,2022,969,2972,2616,2,0,1,46
09,30,2022,909,2878,2641,1,1,1,15
09,30,2022,609,2690,2501,0,1,1,11
09,29,2022,849,1323,1207,0,1,1,1
09,29,2022,849,1297,1164,0,1,1,1
09,29,2022,489,1538,1428,0,0,1,3
09,28,2022,909,2354,2196,0,1,1,5
09,28,2022,729,4375,4053,1,2,1,29
09,28,2022,489,1410,1275,0,1,1,2
09,28,2022,489,1899,1753,1,1,1,2
09,28,2022,489,1097,1005,0,1,1,1
09,28,2022,489,1559,1472,1,1,1,2
09,28,2022,489,897,834,0,1,1,1
09,28,2022,489,1702,1623,1,2,1,5
09,27,2022,969,11805,10410,110,10,1,437
09,27,2022,909,2391,2310,0,1,1,3
09,27,2022,909,3328,3225,1,0,1,11
09,27,2022,669,2584,2304,0,5,1,14
09,26,2022,849,2767,2645,2,2,1,11
09,26,2022,789,1688,1571,0,2,1,7
09,26,2022,789,3511,3397,1,2,1,24
09,26,2022,789,1685,1595,0,3,1,7
09,26,2022,789,862,782,0,2,1,2
09,26,2022,789,1176,1076,0,2,1,2
09,26,2022,669,3188,3094,1,4,1,15
09,26,2022,609,3713,3690,0,3,1,52
09,26,2022,549,3492,3211,1,7,1,102
09,24,2022,1209,13176,11205,32,25,1,437
09,24,2022,789,8059,7775,4,10,1,141
09,23,2022,1089,986,901,0,0,1,14
09,22,2022,1269,2914,2715,0,2,1,24
09,22,2022,1089,1457,1314,0,0,1,2
09,22,2022,1089,7941,7402,10,5,1,186
09,22,2022,849,1011,918,0,1,1,25
09,22,2022,849,1120,948,1,6,1,17
09,22,2022,849,1231,1033,1,7,1,24
09,21,2022,489,1375,1243,0,1,1,2
09,19,2022,969,2691,2545,0,0,1,5
09,19,2022,969,2281,1972,0,4,1,6
09,19,2022,669,5237,4655,1,9,1,53
09,15,2022,1389,4506,4196,0,0,1,27
09,14,2022,909,1443,1216,0,2,1,5
09,14,2022,909,5611,5227,6,4,1,20
09,14,2022,669,3237,2681,1,2,1,12
09,13,2022,489,3550,3136,1,4,3,4
09,12,2022,549,2148,1890,0,0,1,9
08,11,2022,488,2853,2187,0,2,1,0
08,08,2022,488,4845,4053,3,21,1,14
12,31,2022,492,3471,2580,0,0,1,28
12,25,2022,12,5037,3515,0,1,1,99
12,24,2022,492,3466,2477,0,0,1,12
12,16,2022,1032,4693,3418,0,0,1,41
12,16,2022,552,3096,2204,0,0,1,3
12,16,2022,552,7739,5921,81,4,2,213
12,15,2022,672,3125,2350,0,0,1,12
12,14,2022,792,7255,5256,19,4,2,136
12,13,2022,852,6905,5409,5,2,3,83
12,13,2022,852,7047,5842,1,1,1,143
12,07,2022,912,7435,6267,4,3,1,287
12,05,2022,612,4721,3471,4,2,1,13
12,02,2022,552,8445,6421,3,4,1,56
12,01,2022,492,17913,14644,75,21,1,811
11,24,2022,971,8325,6274,9,8,1,76
11,23,2022,851,2419,2107,0,4,1,7
11,18,2022,491,19064,15991,136,53,1,1063
11,04,2022,851,8130,7388,15,10,1,160
11,01,2022,611,6367,6111,7,5,1,120
10,28,2022,550,7883,7178,6,3,1,204
10,28,2022,550,14435,12923,127,22,1,593
10,28,2022,550,3511,3131,0,5,1,13
10,24,2022,610,4611,4399,10,3,1,54
10,24,2022,610,3638,3482,1,2,1,47
10,24,2022,610,2323,2264,0,2,1,10
10,24,2022,610,2037,1862,0,2,1,4
10,24,2022,550,2254,2204,1,0,1,2
10,19,2022,730,3793,3499,0,3,1,1
10,19,2022,670,3784,3309,5,16,1,157
10,18,2022,1150,1593,1483,0,1,1,14
10,18,2022,730,5954,5727,1,2,1,47
10,18,2022,670,3661,3350,0,12,1,34
