Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
04/26/2022 17:04,89,83,0,0,1,0
04/26/2022 17:04,94,86,0,0,0,0
04/26/2022 17:04,95,89,0,0,0,0
04/26/2022 17:04,96,90,0,0,1,0
04/26/2022 17:04,100,94,0,0,2,0
04/26/2022 17:04,101,95,0,0,0,0
04/26/2022 17:04,112,103,0,1,0,1
04/27/2022 17:04,150,136,0,1,0,1
04/28/2022 10:04,105,98,0,0,1,1
04/29/2022 09:04,109,102,0,0,0,0
04/29/2022 09:04,242,214,1,4,3,9
04/30/2022 14:04,111,105,0,0,0,0
05/02/2022 15:05,121,113,0,0,0,0
05/02/2022 15:05,144,133,0,1,0,0
05/02/2022 15:05,237,213,0,2,0,1
05/03/2022 13:05,136,123,0,0,1,1
05/03/2022 13:05,151,139,0,1,0,2
05/03/2022 17:05,166,152,0,2,2,5
05/03/2022 17:05,180,160,0,1,0,4
05/03/2022 17:05,1027,837,26,20,165,52
05/04/2022 09:05,181,161,0,0,1,0
05/04/2022 09:05,208,187,0,1,3,1
05/05/2022 15:05,193,174,0,0,0,2
05/06/2022 09:05,318,260,4,4,12,6
05/06/2022 09:05,202,182,0,0,0,4
05/06/2022 17:05,202,184,0,0,0,0
05/11/2022 10:05,836,645,28,11,29,204
05/11/2022 14:05,253,230,0,0,0,1
05/11/2022 15:05,289,258,0,1,1,2
05/12/2022 08:05,310,270,0,0,0,1
05/12/2022 11:05,578,464,13,6,11,11
05/13/2022 17:05,390,341,1,0,0,0
05/13/2022 22:05,364,316,0,0,2,10
05/15/2022 08:05,404,344,0,4,0,4
05/17/2022 10:05,378,334,0,0,2,4
05/18/2022 09:05,438,381,2,1,5,7
05/18/2022 18:05,1374,1096,1,7,53,43
05/20/2022 08:05,463,397,0,0,1,1
05/20/2022 10:05,481,414,0,1,1,2
05/20/2022 11:05,538,460,0,1,1,0
05/23/2022 08:05,585,503,2,5,1,41
05/23/2022 08:05,791,639,2,2,4,4
05/23/2022 08:05,588,503,0,0,0,1
05/23/2022 14:05,749,635,1,3,3,1
05/23/2022 19:05,717,605,6,1,12,14
05/23/2022 20:05,755,627,1,2,5,10
05/24/2022 12:05,766,634,1,0,1,0
05/24/2022 12:05,1249,959,32,12,50,70
05/24/2022 15:05,988,803,1,1,65,3
05/25/2022 08:05,984,797,1,0,11,3
05/25/2022 08:05,1139,909,0,2,10,4
05/26/2022 16:05,2071,1652,7,8,67,39
05/26/2022 16:05,1429,1115,0,5,10,11
05/26/2022 20:05,1268,1005,0,0,0,0
05/27/2022 12:05,1783,1309,0,0,15,1
05/30/2022 13:05,1611,1245,0,0,5,4
05/30/2022 13:05,2520,1823,4,1,82,5
05/30/2022 17:05,2377,1675,0,0,134,2
05/31/2022 17:05,2670,1813,0,0,16,1
05/31/2022 18:05,2955,1938,0,1,20,0
05/31/2022 18:05,4365,2427,0,1,4,3
06/03/2022 17:06,10918,6809,14,19,1059,86
